country,cases,todayCases,deaths,todayDeaths,recovered,active,critical,casesPerOneMillion,deathsPerOneMillion,tests,testsPerOneMillion,population,continent,oneCasePerPeople,oneDeathPerPeople,oneTestPerPeople,data_collected_at
Monaco,17181,0,67,0,0,17114,0,431868,1684,78646,1976875,39783,Europe,2,594,1,2025-03-23 19:32:41
Mongolia,1011496,0,2284,0,1009212,0,0,299429,676,4030048,1193000,3378078,Asia,3,1479,1,2025-03-23 19:32:41
Montenegro,296542,0,2846,0,291794,1902,0,472238,4532,2769281,4410034,627950,Europe,2,221,0,2025-03-23 19:32:41
Montserrat,1403,0,8,0,1376,19,0,282578,1611,17762,3577442,4965,North America,4,621,0,2025-03-23 19:32:41
Morocco,1278992,0,16303,0,0,1262689,0,33860,432,13001033,344191,37772756,Africa,30,2317,3,2025-03-23 19:32:41
Mozambique,233731,0,2250,0,228805,2676,11,7064,68,1371127,41437,33089461,Africa,142,14706,24,2025-03-23 19:32:41
Myanmar,641873,0,19495,0,620159,2219,0,11622,353,11711514,212061,55227143,Asia,86,2833,5,2025-03-23 19:32:41
N. Korea,4772813,0,74,0,4772739,0,0,183636,3,0,0,25990679,Asia,5,351225,0,2025-03-23 19:32:41
Namibia,172389,0,4106,0,167099,1184,0,65451,1559,1062663,403460,2633874,Africa,15,641,2,2025-03-23 19:32:41
Nauru,5393,0,1,0,5347,45,0,494635,92,20509,1881042,10903,Australia-Oceania,2,10903,1,2025-03-23 19:32:41
Nepal,1003450,0,12031,0,991322,97,0,33199,398,6047766,200088,30225582,Asia,30,2512,5,2025-03-23 19:32:41
Netherlands,8635786,0,22992,0,8612599,195,0,501747,1336,25984435,1509718,17211447,Europe,2,749,1,2025-03-23 19:32:41
New Caledonia,80064,0,314,0,0,79750,0,275214,1079,98964,340182,290915,Australia-Oceania,4,926,3,2025-03-23 19:32:41
New Zealand,2621111,0,5697,0,2613791,1623,0,535117,1163,7768604,1586011,4898203,Australia-Oceania,2,860,1,2025-03-23 19:32:41
Nicaragua,18491,0,225,0,4225,14041,0,2728,33,0,0,6779100,North America,367,30129,0,2025-03-23 19:32:41
Niger,9931,0,312,0,8890,729,1,381,12,254538,9759,26083660,Africa,2626,83601,102,2025-03-23 19:32:41
